"OBJECTID","NAME","ADDRESS"
126,"Madison Square Park","810 Jackson St"
127,"Garber [John] Park","8070 Claremont Av"
128,"Peralta Park","2 10th St"
129,"Rainbow Park","5800 International Blvd"
130,"Redwood Heights Park","3883 Aliso Av"
131,"Richmond Blvd","Richmond Blvd & 30th St"
132,"Santa Rita Land Trust","Santa Rita & Ransome"
133,"Tassafaronga Park","975 85th Av"
134,"66th Ave Overlook","66th Ave & Oakport St"
135,"Caldecott Park","6900 Broadway"
136,"Sheffield Village Park","247 Marlow Dr"
137,"Tomas Melero-Smith Park","1461 65th Av"
138,"Latham Square","16th St & Telegraph Av"
139,"Lakeshore at Longridge Mini Park","Lakeshore Av & Longridge Rd"
140,"Piedmont Plaza","4182 Piedmont Ave"
141,"Courtland Creek","Courtland Ave & Brookdale Ave"
142,"Lazear Mini Park","2863 E 9th St"
143,"City Stables","13560 Skyline Blvd"
144,"Grizzly Peak Open Space","Grizzly Peak Rd & Marlborough Ter"
145,"Butters Land Trust","3502 Butters Dr"
146,"Panoramic Hill","Panoramic Way & Bancroft Pl"
147,"Castle Canyon","Castle Dr & Castle Park Way"
148,"Redwood Creek Open Space","5720 Balmoral Dr"
149,"Mandela Parkway","1400 Mandela Pkwy"
150,"Shepherd Canyon Park"," "
151,"Beaconsfield Canyon","Beaconsfield Pl & Keswick Ct"
152,"Marjorie Saunders Park","5851 Ascot Dr"
153,"MacArthur Blvd Median","MacArthur Blvd & Savannah Ct"
154,"98th Ave Median","98th Ave & Elmview Dr"
155,"Hegenberger Median","Hegenberger Onrp & 75 Ave"
156,"Bancroft Median","Bancroft Ave & 86th Ave"
157,"Peralta Oaks Dr Median","Peralta Oaks Dr & Peralta Oaks Ct"
158,"Golf Links Rd Median","Golf Links Rd & Shetland Ave"
